run_date,run_at,source,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,tso_forecast_mw,actual_mw,context_start,context_end
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 16:00:00+00:00,10248.105,10248.105,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 17:00:00+00:00,9940.995,9940.995,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 18:00:00+00:00,9697.105,9697.105,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 19:00:00+00:00,9459.5975,9459.5975,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 20:00:00+00:00,9322.865,9322.865,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 21:00:00+00:00,8848.395,8848.395,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 22:00:00+00:00,8324.0725,8324.0725,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-26 23:00:00+00:00,8047.605,8047.605,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-27 00:00:00+00:00,7973.77,7973.77,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-27 01:00:00+00:00,7886.455,7886.455,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
2026-08-26,2026-08-26T18:20:45+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-27 02:00:00+00:00,7901.43,7901.43,,2026-05-26 16:00:00+00:00,2026-08-26 15:00:00+00:00
