run_date,run_at,source,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,tso_forecast_mw,actual_mw,context_start,context_end
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 16:00:00+00:00,9813.029999999999,9813.029999999999,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 17:00:00+00:00,9715.1475,9715.1475,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 18:00:00+00:00,9455.9,9455.9,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 19:00:00+00:00,9237.75,9237.75,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 20:00:00+00:00,9057.8025,9057.8025,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 21:00:00+00:00,8644.22,8644.22,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 22:00:00+00:00,8026.035,8026.035,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-21 23:00:00+00:00,7761.4725,7761.4725,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 00:00:00+00:00,7743.0375,7743.0375,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 01:00:00+00:00,7491.265,7491.265,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 02:00:00+00:00,7499.6925,7499.6925,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 03:00:00+00:00,7471.695,7471.695,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 04:00:00+00:00,7650.637500000001,7650.637500000001,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 05:00:00+00:00,7991.98,7991.98,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 06:00:00+00:00,8360.615,8360.615,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 07:00:00+00:00,8859.7375,8859.7375,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 08:00:00+00:00,9319.015,9319.015,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 09:00:00+00:00,9878.49,9878.49,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
2026-08-21,2026-08-21T17:04:26+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-22 10:00:00+00:00,10236.314999999999,10236.314999999999,,2026-05-21 16:00:00+00:00,2026-08-21 15:00:00+00:00
