source,run_date,run_at,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,actual_mw,tso_forecast_mw,context_start,context_end
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-28 18:00:00+00:00,9883.1275,9990.095,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-28 19:00:00+00:00,9487.6775,9588.795,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-28 20:00:00+00:00,9102.145,9268.6625,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-28 21:00:00+00:00,8925.8,9175.5975,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-28 22:00:00+00:00,8767.61,9146.6225,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-28 23:00:00+00:00,8525.275,8590.4625,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-29 00:00:00+00:00,7747.5525,8299.9175,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-29 01:00:00+00:00,7451.1125,8032.467500000001,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-29 02:00:00+00:00,7384.2775,7897.2825,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
historical_mock_realized,2025-12-28,2025-12-28 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-29 03:00:00+00:00,7400.7325,7889.695,,2025-09-27 18:00:00+00:00,2025-12-28 17:00:00+00:00
