source,run_date,run_at,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,actual_mw,tso_forecast_mw,context_start,context_end
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 16:00:00+00:00,11045.925,10270.69,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 17:00:00+00:00,10992.2975,10165.105,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 18:00:00+00:00,62349.0,60392.025,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 19:00:00+00:00,59577.125,57544.33,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 20:00:00+00:00,56848.25,55058.18,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 21:00:00+00:00,56648.5,55639.1975,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 22:00:00+00:00,57210.5,55140.19,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 23:00:00+00:00,54212.5,53015.26,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 00:00:00+00:00,51625.0,51157.2575,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 01:00:00+00:00,49825.0,49168.7975,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 02:00:00+00:00,47187.5,46774.255,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 03:00:00+00:00,46162.5,45616.2875,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 04:00:00+00:00,46800.0,46184.2125,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 05:00:00+00:00,48637.5,47931.16,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 06:00:00+00:00,51050.0,50146.2025,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 07:00:00+00:00,53512.5,52450.7725,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 08:00:00+00:00,55150.0,54710.8375,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 09:00:00+00:00,55800.0,56054.15,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 10:00:00+00:00,56575.0,56933.495,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 11:00:00+00:00,58187.5,58780.567500000005,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 12:00:00+00:00,57275.0,57038.1375,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 13:00:00+00:00,55375.0,55386.8,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 14:00:00+00:00,53837.5,53916.595,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 15:00:00+00:00,53425.0,52993.1175,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 16:00:00+00:00,55625.0,54547.0375,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,FR,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 17:00:00+00:00,57537.5,56353.24,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 18:00:00+00:00,63492.441409,61988.966360000006,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 19:00:00+00:00,59641.067634249994,58424.077555,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 20:00:00+00:00,55941.53147625,55377.1526175,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 21:00:00+00:00,52813.77749025,52451.88634,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 22:00:00+00:00,49486.69869125,48907.3325625,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-19 23:00:00+00:00,46101.21315075,45721.475425,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 00:00:00+00:00,44282.11692075,43781.67288,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 01:00:00+00:00,43253.6366865,43063.818792499995,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 02:00:00+00:00,43019.906498,42423.2590775,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 03:00:00+00:00,43142.82043375,42571.9180275,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 04:00:00+00:00,44311.985291,43044.915975,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 05:00:00+00:00,46340.3827575,44555.27218,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 06:00:00+00:00,49265.33039575,47624.603449999995,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 07:00:00+00:00,53099.814047,50827.4140525,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 08:00:00+00:00,55841.3156155,53019.061675,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 09:00:00+00:00,57382.204621,54443.061685,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 10:00:00+00:00,58185.11244425,55558.6689025,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 11:00:00+00:00,57474.058203,55577.01152,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 12:00:00+00:00,55993.2328985,54536.896695,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
