run_date,run_at,source,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,tso_forecast_mw,actual_mw,context_start,context_end
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 16:00:00+00:00,8377.265,8377.265,8194.74,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 17:00:00+00:00,8356.2425,8356.2425,8458.5,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 18:00:00+00:00,8231.0275,8231.0275,8180.815,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 19:00:00+00:00,8318.185000000001,8318.185000000001,8096.286666666667,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 20:00:00+00:00,7994.672500000001,7994.672500000001,8092.225,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 21:00:00+00:00,7664.2475,7664.2475,7721.98,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 22:00:00+00:00,7432.36,7432.36,7030.5599999999995,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-30 23:00:00+00:00,7274.405,7274.405,6973.506666666667,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 00:00:00+00:00,7204.2575,7204.2575,7030.725,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 01:00:00+00:00,7101.055,7101.055,6976.223333333332,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 02:00:00+00:00,7049.762500000001,7049.762500000001,6914.676666666666,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 03:00:00+00:00,7448.3625,7448.3625,7366.5375,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 04:00:00+00:00,8061.27,8061.27,8417.509999999998,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 05:00:00+00:00,8737.3675,8737.3675,9035.46,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 06:00:00+00:00,9673.8675,9673.8675,9963.025,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 07:00:00+00:00,10268.705,10268.705,10338.583333333334,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 08:00:00+00:00,10553.9525,10553.9525,10571.44,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
2026-08-30,2026-09-06 03:38:35+00:00,online,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-31 09:00:00+00:00,10680.195,10680.195,10582.3225,2026-05-30 16:00:00+00:00,2026-08-30 15:00:00+00:00
