run_date,run_at,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,tso_forecast_mw,actual_mw,context_start,context_end,source
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-03 18:00:00+00:00,9302.805,9302.805,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-03 19:00:00+00:00,9079.19,9079.19,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-03 20:00:00+00:00,8922.692500000001,8922.692500000001,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-03 21:00:00+00:00,8476.4875,8476.4875,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-03 22:00:00+00:00,7606.3425,7606.3425,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-03 23:00:00+00:00,7262.2975,7262.2975,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 00:00:00+00:00,7271.12,7271.12,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 01:00:00+00:00,7192.1775,7192.1775,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 02:00:00+00:00,7241.935,7241.935,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 03:00:00+00:00,7460.225,7460.225,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 04:00:00+00:00,7972.3,7972.3,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 05:00:00+00:00,8626.7675,8626.7675,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 06:00:00+00:00,9177.94,9177.94,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 07:00:00+00:00,9556.6125,9556.6125,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 08:00:00+00:00,9847.3175,9847.3175,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 09:00:00+00:00,10194.755,10194.755,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 10:00:00+00:00,10356.3325,10356.3325,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 11:00:00+00:00,10282.17,10282.17,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 12:00:00+00:00,10194.9125,10194.9125,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 13:00:00+00:00,9994.655,9994.655,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 14:00:00+00:00,9788.4175,9788.4175,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 15:00:00+00:00,9736.18,9736.18,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 16:00:00+00:00,9686.4725,9686.4725,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,tso_reference,TSO forecast,tso_forecast,2208,2026-08-04 17:00:00+00:00,9488.8875,9488.8875,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-03 18:00:00+00:00,8286.615,9302.805,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-03 19:00:00+00:00,8207.2325,9079.19,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-03 20:00:00+00:00,8255.355,8922.692500000001,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-03 21:00:00+00:00,7912.6625,8476.4875,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-03 22:00:00+00:00,7346.255,7606.3425,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-03 23:00:00+00:00,7177.5525,7262.2975,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 00:00:00+00:00,6987.2300000000005,7271.12,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 01:00:00+00:00,6950.702499999999,7192.1775,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 02:00:00+00:00,6990.84,7241.935,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 03:00:00+00:00,7095.2074999999995,7460.225,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 04:00:00+00:00,7491.49,7972.3,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 05:00:00+00:00,8128.0175,8626.7675,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 06:00:00+00:00,8706.91,9177.94,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 07:00:00+00:00,9151.4675,9556.6125,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 08:00:00+00:00,9604.015,9847.3175,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 09:00:00+00:00,10062.4475,10194.755,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
2026-08-03,2026-08-10 08:09:45+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2026-08-04 10:00:00+00:00,10318.3925,10356.3325,,2026-05-03 18:00:00+00:00,2026-08-03 17:00:00+00:00,online
