checked_at,run_date,rows,seconds,status,message
2026-09-16T19:41:46+00:00,2026-09-12,0,0.043,skipped_complete,complete 48 groups x 24 hours
2026-09-16T19:41:46+00:00,2026-09-13,0,0.004,skipped_complete,complete 48 groups x 24 hours
2026-09-16T19:44:34+00:00,2026-09-14,1056,167.346,incomplete,"incomplete groups: FR/wind_offshore/chronos2_online=0, FR/wind_offshore/persistence=0, FR/wind_offshore/tso_reference=0, FR/wind_offshore/xgboost_online=0"
2026-09-16T19:47:29+00:00,2026-09-15,1056,175.525,incomplete,"incomplete groups: FR/wind_offshore/chronos2_online=0, FR/wind_offshore/persistence=0, FR/wind_offshore/tso_reference=0, FR/wind_offshore/xgboost_online=0"
2026-09-16T19:49:39+00:00,2026-09-16,1056,130.454,incomplete,"incomplete groups: FR/wind_offshore/chronos2_online=0, FR/wind_offshore/persistence=0, FR/wind_offshore/tso_reference=0, FR/wind_offshore/xgboost_online=0"
