checked_at,run_date,rows,seconds,status,message
2026-09-18T19:28:45+00:00,2026-09-14,264,151.509,incomplete,incomplete groups: FR/wind_offshore/timesfm3_online=0
2026-09-18T19:31:39+00:00,2026-09-15,264,174.361,incomplete,incomplete groups: FR/wind_offshore/timesfm3_online=0
2026-09-18T19:35:07+00:00,2026-09-16,264,208.181,incomplete,incomplete groups: FR/wind_offshore/timesfm3_online=0
2026-09-18T19:37:39+00:00,2026-09-17,264,151.462,incomplete,incomplete groups: BE/wind_offshore/timesfm3_online=0
2026-09-18T19:39:31+00:00,2026-09-18,240,112.259,incomplete,"incomplete groups: BE/wind_offshore/timesfm3_online=0, FR/wind_offshore/timesfm3_online=0"
