checked_at,run_date,rows,seconds,status,message
2026-09-22T19:54:01+00:00,2026-09-18,0,0.006,skipped_complete,complete 12 groups x 24 hours
2026-09-22T19:54:02+00:00,2026-09-19,0,0.006,skipped_complete,complete 12 groups x 24 hours
2026-09-22T19:54:02+00:00,2026-09-20,0,0.006,skipped_complete,complete 12 groups x 24 hours
2026-09-22T19:54:02+00:00,2026-09-21,0,0.006,skipped_complete,complete 12 groups x 24 hours
2026-09-22T19:54:51+00:00,2026-09-22,288,49.899,complete,complete 12 groups x 24 hours
