checked_at,run_date,rows,seconds,status,message
2026-09-13T21:05:19+00:00,2026-09-09,0,0.006,skipped_complete,complete 48 groups x 24 hours
2026-09-13T21:05:19+00:00,2026-09-10,0,0.009,skipped_complete,complete 48 groups x 24 hours
2026-09-13T21:05:19+00:00,2026-09-11,0,0.005,skipped_complete,complete 48 groups x 24 hours
2026-09-13T21:05:19+00:00,2026-09-12,0,0.006,skipped_complete,complete 48 groups x 24 hours
2026-09-13T21:05:19+00:00,2026-09-13,0,0.006,skipped_complete,complete 48 groups x 24 hours
